Employee,OrganizationalUnit,OrganizationalUnitDescription,Position,PositionDescription,EmployeeSubGroupDescription,Date,DayOfWeek,PT63DailyWorkSchedule,PT63DailyWorkScheduleDescription,StartTime,EndTime,PT63DailyWorkingHrs,DefaultCounterColumn,MaterializedViewLatestUpdateDate,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,29/06/2021 00:00,Tuesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,30/06/2021 00:00,Wednesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,01/07/2021 00:00,Thursday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,02/07/2021 00:00,Friday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,03/07/2021 00:00,Saturday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,04/07/2021 00:00,Sunday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,05/07/2021 00:00,Monday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,06/07/2021 00:00,Tuesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,07/07/2021 00:00,Wednesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,08/07/2021 00:00,Thursday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,09/07/2021 00:00,Friday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,10/07/2021 00:00,Saturday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,11/07/2021 00:00,Sunday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,12/07/2021 00:00,Monday,DDCI,DOM WKDAY CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,13/07/2021 00:00,Tuesday,DDCI,DOM WKDAY CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,14/07/2021 00:00,Wednesday,DDCI,DOM WKDAY CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,15/07/2021 00:00,Thursday,DDCI,DOM WKDAY CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,16/07/2021 00:00,Friday,DDCI,DOM WKDAY CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,17/07/2021 00:00,Saturday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,18/07/2021 00:00,Sunday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,19/07/2021 00:00,Monday,DDVR,DOM WKDAY VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,20/07/2021 00:00,Tuesday,DDVR,DOM WKDAY VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,21/07/2021 00:00,Wednesday,DDVR,DOM WKDAY VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,22/07/2021 00:00,Thursday,DDVR,DOM WKDAY VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,23/07/2021 00:00,Friday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,24/07/2021 00:00,Saturday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,25/07/2021 00:00,Sunday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,26/07/2021 00:00,Monday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,27/07/2021 00:00,Tuesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,28/07/2021 00:00,Wednesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,29/07/2021 00:00,Thursday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,30/07/2021 00:00,Friday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,31/07/2021 00:00,Saturday,DKCI,DOM WKEND CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
